province,country,last_update,confirmed,suspected,recovered,deaths,date,location,is_china,active
Henan,Mainland China,2020-01-23 12:00:00,5,0,0,0,2020-01-23,"Henan, Mainland China",True,5
Hubei,Mainland China,2020-01-23 12:00:00,444,0,28,17,2020-01-23,"Hubei, Mainland China",True,399
Hunan,Mainland China,2020-01-23 12:00:00,9,0,0,0,2020-01-23,"Hunan, Mainland China",True,9
Inner Mongolia,Mainland China,2020-01-23 12:00:00,0,1,0,0,2020-01-23,"Inner Mongolia, Mainland China",True,0
Jiangsu,Mainland China,2020-01-23 12:00:00,5,0,0,0,2020-01-23,"Jiangsu, Mainland China",True,5
Jiangxi,Mainland China,2020-01-23 12:00:00,7,0,0,0,2020-01-23,"Jiangxi, Mainland China",True,7
Jilin,Mainland China,2020-01-23 12:00:00,1,0,0,0,2020-01-23,"Jilin, Mainland China",True,1
Liaoning,Mainland China,2020-01-23 12:00:00,3,0,0,0,2020-01-23,"Liaoning, Mainland China",True,3
Ningxia,Mainland China,2020-01-23 12:00:00,1,0,0,0,2020-01-23,"Ningxia, Mainland China",True,1
Qinghai,Mainland China,2020-01-23 12:00:00,0,0,0,0,2020-01-23,"Qinghai, Mainland China",True,0
Shaanxi,Mainland China,2020-01-23 12:00:00,3,1,0,0,2020-01-23,"Shaanxi, Mainland China",True,3
Shandong,Mainland China,2020-01-23 12:00:00,6,2,0,0,2020-01-23,"Shandong, Mainland China",True,6
Shanghai,Mainland China,2020-01-23 12:00:00,16,22,0,0,2020-01-23,"Shanghai, Mainland China",True,16
Shanxi,Mainland China,2020-01-23 12:00:00,1,0,0,0,2020-01-23,"Shanxi, Mainland China",True,1
Sichuan,Mainland China,2020-01-23 12:00:00,8,2,0,0,2020-01-23,"Sichuan, Mainland China",True,8
Tianjin,Mainland China,2020-01-23 12:00:00,4,0,0,0,2020-01-23,"Tianjin, Mainland China",True,4
Tibet,Mainland China,2020-01-23 12:00:00,0,0,0,0,2020-01-23,"Tibet, Mainland China",True,0
Xinjiang,Mainland China,2020-01-23 12:00:00,2,0,0,0,2020-01-23,"Xinjiang, Mainland China",True,2
Yunnan,Mainland China,2020-01-23 12:00:00,2,0,0,0,2020-01-23,"Yunnan, Mainland China",True,2
Zhejiang,Mainland China,2020-01-23 12:00:00,27,0,0,0,2020-01-23,"Zhejiang, Mainland China",True,27
,Malaysia,2020-01-23 12:00:00,0,4,0,0,2020-01-23,Malaysia,False,0
,Mexico,2020-01-23 12:00:00,0,1,0,0,2020-01-23,Mexico,False,0
,Philippines,2020-01-23 12:00:00,0,4,0,0,2020-01-23,Philippines,False,0
,Singapore,2020-01-23 12:00:00,1,0,0,0,2020-01-23,Singapore,False,1
,South Korea,2020-01-23 12:00:00,1,0,0,0,2020-01-23,South Korea,False,1
Taiwan,Taiwan,2020-01-23 12:00:00,1,0,0,0,2020-01-23,"Taiwan, Taiwan",False,1
,Thailand,2020-01-23 12:00:00,3,0,0,0,2020-01-23,Thailand,False,3
Washington,US,2020-01-23 12:00:00,1,0,0,0,2020-01-23,"Washington, US",False,1
,Vietnam,2020-01-23 12:00:00,2,0,0,0,2020-01-23,Vietnam,False,2
Hong Kong,Hong Kong,2020-01-24 00:00:00,2,36,0,0,2020-01-24,"Hong Kong, Hong Kong",False,2
,Japan,2020-01-24 00:00:00,2,0,0,0,2020-01-24,Japan,False,2
Macau,Macau,2020-01-24 00:00:00,2,0,0,0,2020-01-24,"Macau, Macau",False,2
Anhui,Mainland China,2020-01-24 00:00:00,15,4,0,0,2020-01-24,"Anhui, Mainland China",True,15
Beijing,Mainland China,2020-01-24 00:00:00,26,22,0,0,2020-01-24,"Beijing, Mainland China",True,26
Chongqing,Mainland China,2020-01-24 00:00:00,27,13,0,0,2020-01-24,"Chongqing, Mainland China",True,27
Fujian,Mainland China,2020-01-24 00:00:00,5,2,0,0,2020-01-24,"Fujian, Mainland China",True,5
Gansu,Mainland China,2020-01-24 00:00:00,2,0,0,0,2020-01-24,"Gansu, Mainland China",True,2
Guangdong,Mainland China,2020-01-24 00:00:00,53,0,2,0,2020-01-24,"Guangdong, Mainland China",True,51
Guangxi,Mainland China,2020-01-24 00:00:00,13,0,0,0,2020-01-24,"Guangxi, Mainland China",True,13
Guizhou,Mainland China,2020-01-24 00:00:00,3,0,0,0,2020-01-24,"Guizhou, Mainland China",True,3
Hainan,Mainland China,2020-01-24 00:00:00,8,32,0,0,2020-01-24,"Hainan, Mainland China",True,8
Hebei,Mainland China,2020-01-24 00:00:00,2,0,0,1,2020-01-24,"Hebei, Mainland China",True,1
Heilongjiang,Mainland China,2020-01-24 00:00:00,4,0,0,1,2020-01-24,"Heilongjiang, Mainland China",True,3
Henan,Mainland China,2020-01-24 00:00:00,9,0,0,0,2020-01-24,"Henan, Mainland China",True,9
Hubei,Mainland China,2020-01-24 00:00:00,549,0,31,24,2020-01-24,"Hubei, Mainland China",True,494
Hunan,Mainland China,2020-01-24 00:00:00,24,0,0,0,2020-01-24,"Hunan, Mainland China",True,24
Inner Mongolia,Mainland China,2020-01-24 00:00:00,1,2,0,0,2020-01-24,"Inner Mongolia, Mainland China",True,1
Jiangsu,Mainland China,2020-01-24 00:00:00,9,0,0,0,2020-01-24,"Jiangsu, Mainland China",True,9
Jiangxi,Mainland China,2020-01-24 00:00:00,7,0,0,0,2020-01-24,"Jiangxi, Mainland China",True,7
Jilin,Mainland China,2020-01-24 00:00:00,3,0,0,0,2020-01-24,"Jilin, Mainland China",True,3
Liaoning,Mainland China,2020-01-24 00:00:00,4,0,0,0,2020-01-24,"Liaoning, Mainland China",True,4
Ningxia,Mainland China,2020-01-24 00:00:00,1,0,0,0,2020-01-24,"Ningxia, Mainland China",True,1
Shaanxi,Mainland China,2020-01-24 00:00:00,3,0,0,0,2020-01-24,"Shaanxi, Mainland China",True,3
Shandong,Mainland China,2020-01-24 00:00:00,9,0,0,0,2020-01-24,"Shandong, Mainland China",True,9
Shanghai,Mainland China,2020-01-24 00:00:00,20,0,0,0,2020-01-24,"Shanghai, Mainland China",True,20
Shanxi,Mainland China,2020-01-24 00:00:00,1,0,0,0,2020-01-24,"Shanxi, Mainland China",True,1
Sichuan,Mainland China,2020-01-24 00:00:00,15,4,0,0,2020-01-24,"Sichuan, Mainland China",True,15
Tianjin,Mainland China,2020-01-24 00:00:00,5,0,0,0,2020-01-24,"Tianjin, Mainland China",True,5
Xinjiang,Mainland China,2020-01-24 00:00:00,2,0,0,0,2020-01-24,"Xinjiang, Mainland China",True,2
Yunnan,Mainland China,2020-01-24 00:00:00,2,0,0,0,2020-01-24,"Yunnan, Mainland China",True,2
Zhejiang,Mainland China,2020-01-24 00:00:00,43,0,1,0,2020-01-24,"Zhejiang, Mainland China",True,42
,Singapore,2020-01-24 00:00:00,1,0,0,0,2020-01-24,Singapore,False,1
,South Korea,2020-01-24 00:00:00,1,0,0,0,2020-01-24,South Korea,False,1
Taiwan,Taiwan,2020-01-24 00:00:00,1,0,0,0,2020-01-24,"Taiwan, Taiwan",False,1
,Thailand,2020-01-24 00:00:00,4,0,0,0,2020-01-24,Thailand,False,4
Washington,US,2020-01-24 00:00:00,1,0,0,0,2020-01-24,"Washington, US",False,1
,Vietnam,2020-01-24 00:00:00,2,0,0,0,2020-01-24,Vietnam,False,2
Hong Kong,Hong Kong,2020-01-24 12:00:00,2,36,0,0,2020-01-24,"Hong Kong, Hong Kong",False,2
,Japan,2020-01-24 12:00:00,2,0,0,0,2020-01-24,Japan,False,2
Macau,Macau,2020-01-24 12:00:00,2,0,0,0,2020-01-24,"Macau, Macau",False,2
Anhui,Mainland China,2020-01-24 12:00:00,15,4,0,0,2020-01-24,"Anhui, Mainland China",True,15
Beijing,Mainland China,2020-01-24 12:00:00,36,0,1,0,2020-01-24,"Beijing, Mainland China",True,35
Chongqing,Mainland China,2020-01-24 12:00:00,27,13,0,0,2020-01-24,"Chongqing, Mainland China",True,27
Fujian,Mainland China,2020-01-24 12:00:00,10,2,0,0,2020-01-24,"Fujian, Mainland China",True,10
Gansu,Mainland China,2020-01-24 12:00:00,2,0,0,0,2020-01-24,"Gansu, Mainland China",True,2
Guangdong,Mainland China,2020-01-24 12:00:00,53,0,2,0,2020-01-24,"Guangdong, Mainland China",True,51
Guangxi,Mainland China,2020-01-24 12:00:00,23,0,0,0,2020-01-24,"Guangxi, Mainland China",True,23
Guizhou,Mainland China,2020-01-24 12:00:00,3,0,0,0,2020-01-24,"Guizhou, Mainland China",True,3
Hainan,Mainland China,2020-01-24 12:00:00,8,32,0,0,2020-01-24,"Hainan, Mainland China",True,8
Hebei,Mainland China,2020-01-24 12:00:00,2,0,0,1,2020-01-24,"Hebei, Mainland China",True,1
Heilongjiang,Mainland China,2020-01-24 12:00:00,4,0,0,1,2020-01-24,"Heilongjiang, Mainland China",True,3
Henan,Mainland China,2020-01-24 12:00:00,9,42,0,0,2020-01-24,"Henan, Mainland China",True,9
Hubei,Mainland China,2020-01-24 12:00:00,549,0,31,24,2020-01-24,"Hubei, Mainland China",True,494
Hunan,Mainland China,2020-01-24 12:00:00,24,0,0,0,2020-01-24,"Hunan, Mainland China",True,24
Inner Mongolia,Mainland China,2020-01-24 12:00:00,1,2,0,0,2020-01-24,"Inner Mongolia, Mainland China",True,1
Jiangsu,Mainland China,2020-01-24 12:00:00,9,0,0,0,2020-01-24,"Jiangsu, Mainland China",True,9
Jiangxi,Mainland China,2020-01-24 12:00:00,18,0,0,0,2020-01-24,"Jiangxi, Mainland China",True,18
Jilin,Mainland China,2020-01-24 12:00:00,3,0,0,0,2020-01-24,"Jilin, Mainland China",True,3
Liaoning,Mainland China,2020-01-24 12:00:00,4,0,0,0,2020-01-24,"Liaoning, Mainland China",True,4
Ningxia,Mainland China,2020-01-24 12:00:00,2,1,0,0,2020-01-24,"Ningxia, Mainland China",True,2
Qinghai,Mainland China,2020-01-24 12:00:00,0,1,0,0,2020-01-24,"Qinghai, Mainland China",True,0
Shaanxi,Mainland China,2020-01-24 12:00:00,5,0,0,0,2020-01-24,"Shaanxi, Mainland China",True,5
Shandong,Mainland China,2020-01-24 12:00:00,15,0,0,0,2020-01-24,"Shandong, Mainland China",True,15
Shanghai,Mainland China,2020-01-24 12:00:00,20,22,1,0,2020-01-24,"Shanghai, Mainland China",True,19
Shanxi,Mainland China,2020-01-24 12:00:00,1,0,0,0,2020-01-24,"Shanxi, Mainland China",True,1
Sichuan,Mainland China,2020-01-24 12:00:00,15,4,0,0,2020-01-24,"Sichuan, Mainland China",True,15
Tianjin,Mainland China,2020-01-24 12:00:00,8,0,0,0,2020-01-24,"Tianjin, Mainland China",True,8
Xinjiang,Mainland China,2020-01-24 12:00:00,2,0,0,0,2020-01-24,"Xinjiang, Mainland China",True,2
Yunnan,Mainland China,2020-01-24 12:00:00,5,0,0,0,2020-01-24,"Yunnan, Mainland China",True,5
Zhejiang,Mainland China,2020-01-24 12:00:00,43,0,1,0,2020-01-24,"Zhejiang, Mainland China",True,42
,Singapore,2020-01-24 12:00:00,3,0,0,0,2020-01-24,Singapore,False,3
,South Korea,2020-01-24 12:00:00,2,0,0,0,2020-01-24,South Korea,False,2
Taiwan,Taiwan,2020-01-24 12:00:00,3,0,0,0,2020-01-24,"Taiwan, Taiwan",False,3
,Thailand,2020-01-24 12:00:00,5,0,0,0,2020-01-24,Thailand,False,5
Chicago,US,2020-01-24 12:00:00,1,0,0,0,2020-01-24,"Chicago, US",False,1
Washington,US,2020-01-24 12:00:00,1,0,0,0,2020-01-24,"Washington, US",False,1
,Vietnam,2020-01-24 12:00:00,2,0,0,0,2020-01-24,Vietnam,False,2
,France,2020-01-24 16:00:00,2,0,0,0,2020-01-24,France,False,2
,Australia,2020-01-25 00:00:00,1,0,0,0,2020-01-25,Australia,False,1
,France,2020-01-25 00:00:00,3,0,0,0,2020-01-25,France,False,3
Hong Kong,Hong Kong,2020-01-25 00:00:00,5,36,0,0,2020-01-25,"Hong Kong, Hong Kong",False,5
,Japan,2020-01-25 00:00:00,2,0,0,0,2020-01-25,Japan,False,2
Macau,Macau,2020-01-25 00:00:00,2,0,0,0,2020-01-25,"Macau, Macau",False,2
Anhui,Mainland China,2020-01-25 00:00:00,39,4,0,0,2020-01-25,"Anhui, Mainland China",True,39
Beijing,Mainland China,2020-01-25 00:00:00,36,0,1,0,2020-01-25,"Beijing, Mainland China",True,35
Chongqing,Mainland China,2020-01-25 00:00:00,57,0,0,0,2020-01-25,"Chongqing, Mainland China",True,57
Fujian,Mainland China,2020-01-25 00:00:00,10,4,0,0,2020-01-25,"Fujian, Mainland China",True,10
Gansu,Mainland China,2020-01-25 00:00:00,4,0,0,0,2020-01-25,"Gansu, Mainland China",True,4
Guangdong,Mainland China,2020-01-25 00:00:00,78,0,2,0,2020-01-25,"Guangdong, Mainland China",True,76
Guangxi,Mainland China,2020-01-25 00:00:00,23,0,0,0,2020-01-25,"Guangxi, Mainland China",True,23
Guizhou,Mainland China,2020-01-25 00:00:00,4,0,0,0,2020-01-25,"Guizhou, Mainland China",True,4
Hainan,Mainland China,2020-01-25 00:00:00,17,0,0,0,2020-01-25,"Hainan, Mainland China",True,17
Hebei,Mainland China,2020-01-25 00:00:00,8,0,0,1,2020-01-25,"Hebei, Mainland China",True,7
Heilongjiang,Mainland China,2020-01-25 00:00:00,9,0,0,1,2020-01-25,"Heilongjiang, Mainland China",True,8
Henan,Mainland China,2020-01-25 00:00:00,32,1,0,0,2020-01-25,"Henan, Mainland China",True,32
Hubei,Mainland China,2020-01-25 00:00:00,729,0,32,39,2020-01-25,"Hubei, Mainland China",True,658
Hunan,Mainland China,2020-01-25 00:00:00,43,0,0,0,2020-01-25,"Hunan, Mainland China",True,43
Inner Mongolia,Mainland China,2020-01-25 00:00:00,2,0,0,0,2020-01-25,"Inner Mongolia, Mainland China",True,2
Jiangsu,Mainland China,2020-01-25 00:00:00,18,0,1,0,2020-01-25,"Jiangsu, Mainland China",True,17
Jiangxi,Mainland China,2020-01-25 00:00:00,18,0,0,0,2020-01-25,"Jiangxi, Mainland China",True,18
